"id";"unique_id";"name";"strasse_nr";"plz";"art";"angebot";"lieferung";"beschreibung_lieferangebot";"selbstabholung";"angebot_selbstabholung";"fon";"w3";"mail";"montag";"dienstag";"mittwoch";"donnerstag";"freitag";"samstag";"sonntag"
"3087";"1054";"Wok Show";"Greifenhagener Straße 31";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Chinesische Dumplings";"FALSCH";"";"WAHR";"Bestelllungen auf Anruf zum Abholen unter Nummer: 030/43911857 , 01635546583";"+4917632731007";"";"wokshow@gmx.de";"16:00-20:00";"16:00-20:00";"16:00-20:00";"16:00-20:00";"16:00-20:00";"16:00-20:00";"16:00-20:00"
"2832";"967";"Restaurant Meena Kumari";"Lychener Straße 9";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Indisches/Pakistanische";"WAHR";".";"WAHR";"Wie sind Täglich ab 16:30 bis 23 uhr für Lieferung und Abholung bereit.";"+493044052545";"https://www.meenakumari.de";"info@meenakumari.de";"16:30-23:00";"16:30-23:00";"16:30-23:00";"16:30-23:00";"16:30-23:00";"16:30-23:00";"12:00-23:00"
"3348";"1143";"Cafe Meta";"Am Falkplatz 1";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"deutsche Küche";"FALSCH";"";"WAHR";"Mo-Fr von 12:00 Uhr , Sa und So von 13:00  bis 21:00 Uhr telefonisch bestellen und zum Wunschtermin abholen";"+493022150775";"https://www.restaurant-meta.de";"cafe-meta@hotmail.de";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"13:00-21:00";"13:00-21:00"
"3102";"1059";"Café Datscha Prenzlauer Berg";"Stargarder Straße 24";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Russische Küche";"WAHR";"";"WAHR";"Sie können per Telefon oder vor Ort bestellen";"+493028439399";"https://datscha.de/";"pberg@datscha.de";"12:00-19:00";"12:00-19:00";"12:00-19:00";"12:00-19:00";"12:00-19:00";"12:00-19:00";"12:00-19:00"
"1311";"452";"Tiny Gardens";"Kopenhagener Straße 14";"10437";"Blumenladen";"Handgefertigte Flaschengärten und DIY-Sets";"WAHR";"Wir liefern immer Samstags innerhalb Berlins";"WAHR";"In der Zeit von 10 - 15 Uhr kann man den bestellten Flaschengarten auch selber abholen";"+4915155840105";"https://tiny-gardens.de/";"info@tiny-gardens.de";"10:00-15:00";"10:00-13:00";"10:00-15:00";"10:00-13:00";"10:00-15:00";"";""
"2337";"798";"Mobileur";"Milastraße 4";"10437";"Möbel";"Fachgeschäft für Wohnmöbel, Balkonmöbel.Fachhändler für Schlafzimmermöbel wie Betten mit passenden Matratzen und Lattenrosten, Wohnzimmermöbel wie Sessel, Sofas und Schlafsofas, aber auch Esstischen mit den dazugehörigen Stühlen, Regalsystemen und Schränken.";"WAHR";"Kurzfristige Lieferungen in Berlin und im ganzen Land.";"WAHR";"Abholung gerne nach Absprache.";"+493054465267";"https://www.mobileur.de";"info@mobileur.de";"";"";"";"";"";"";""
"3618";"1234";"HOLY FLAT!";"Eberswalder Straße 22";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Vegetarische und vegan Bowls und Flats";"WAHR";"Liefer- und Abholservice über unsere Website in Neukölln und Prenzlauer Berg";"WAHR";"Bowls und Flats";"+493024536358";"https://www.holy-flat.de";"info@holy-flat.de";"11:30-15:00";"11:30-15:00";"11:30-15:00";"11:30-15:00";"11:30-15:00";"";""
"549";"184";"BLACKBEARDS BBQ BERLIN";"Pappelallee 55";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Handmade BBQ Ribs,Burger";"WAHR";"Über Lieferando oder direkt vom Restaurant 3 km Umkreis(von 10437)";"WAHR";"Siehe Lieferando oder Webseite";"+493041192288";"https://blackbeards.berlin";"mail@backbeards.berlin";"";"15:00-22:00";"15:00-22:00";"15:00-22:00";"15:00-22:00";"13:00-22:00";"13:00-22:00"
"3120";"1065";"Trattoria Antichi Aromi";"Greifenhagener Straße 38";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Antipasti,Salate,Pizza,Pasta,Fisch,Fleisch,Dessert";"FALSCH";"";"WAHR";"Für unsere Angebote Schauen Sie auf unserer Hompage, rufen Sie uns an und geben sie Ihre Bestellung durch. Innerhalb 15 bis 30 Minuten werden Ihre Gerichte fertig sein zur Abholung.";"+4917620155814";"https://www.antichi-aromi.de";"info@antichi-aromi.de";"";"";"";"18:00-21:00";"18:00-21:00";"18:00-21:00";"18:00-21:00"
"57";"19";"Vetzgerei";"Raumerstraße 36";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Vegane Hausmannskost";"WAHR";"In ganz Berlin";"WAHR";"Wir bieten warme Gerichte von 12 - 15.30 Uhr an";"+493044673243";"https://die-vetzgerei.myshopify.com";"vurst@dievetzgerei.berlin";"12:00-19:00";"12:00-19:00";"12:00-19:00";"12:00-19:00";"12:00-19:00";"12:00-19:00";""
"3129";"1068";"Buchhandlung Neues Kapitel";"Kopenhagener Straße 7";"10437";"Buchhandlung";"Wir liefern Bücher mit dem Fahrrad innerhalb Prenzlauer Berg/Pankow aus. Das Ladengeschäft hat von 10 bis 18 Uhr geöffnet";"WAHR";"Wir beliefern mit dem Fahrrad in Prenzlauer Berg/Pankow";"WAHR";"Bestellbare Bücher lieferbar zum nächsten Tag";"+493044043092";"https://www.neueskapitel.de";"mail@neueskspitel.de";"10:00-18:00";"10:00-18:00";"10:00-18:00";"10:00-18:00";"10:00-18:00";"10:00-18:00";""
"576";"193";"Restaurant Burgerie";"Schönhauser Allee 50";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Burger und Steaks vom Lavasteingrill,";"FALSCH";"";"WAHR";"";"+493083212440";"https://www.burgerie.com";"info@burgerie.com";"";"13:00-20:00";"13:00-20:00";"13:00-20:00";"13:00-20:00";"13:00-20:00";"13:00-20:00"
"3144";"1074";"paraplü";"Greifenhagener Straße 19";"10437";"Mode / Bekleidung";"Kinderschuhe, Kinderkleidung";"WAHR";"Lieferung vor die Tür und Lieferservice im Umkreis von 2 km";"WAHR";"Wenn möglich nach telefonischer Absprache vom 10 bis 18 Uhr";"+493044714764";"https://paraplue.com";"info@paraplue.com";"10:00-18:00";"10:00-18:00";"10:00-18:00";"10:00-18:00";"10:00-18:00";"";""
"2121";"724";"FILZKÖNIGIN Filzhandel & Manufaktur";"Göhrener Straße 2";"10437";"Anderes (bitte bei der nächsten Frage beschreiben)";"Führende Beratung für Filzprodukte & Maßanfertigungen in eigener Manufaktur";"FALSCH";"";"WAHR";"Bitte vereinbaren Sie mit uns einen persönlichen Abholtermin.";"+491732065803";"https://www.filzkoenigin.de";"info@filzkoenigin.de";"";"12:00-18:00";"";"12:00-18:00";"";"";""
"2382";"813";"THE INNER HOUSE Interior Design";"Pappelallee 57";"10437";"Möbel";"Interior Design Beratung, Möbel, Leuchten, Einrichtungsgegenstände";"WAHR";"";"FALSCH";"";"";"https://www.innerhouse.de";"info@innerhouse.de";"";"";"";"";"";"";""
"603";"204";"Café Bar MOLOKO";"Lettestraße 6a";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Frühstück, Crêpes, Teigtaschen sowie leckere Fleischgerichte wie Spare Ribs and more....";"WAHR";"Über Lieferando bestellbar!";"WAHR";"Anrufen, und in ca. 20 Minuten abholen!";"+493084514122";"https://molokoberlin.de";"info@molokoberlin.de";"12:00-22:00";"12:00-22:00";"12:00-22:00";"12:00-22:00";"12:00-22:00";"12:00-22:00";"12:00-22:00"
"2400";"819";"Kontinentalwaren";"Stargarder Straße 19";"10437";"Anderes (bitte bei der nächsten Frage beschreiben)";"Haushaltswaren, Schreibwaren, Spielwaren, Textilien, Accessoires. Kultprodukte Made in Europe.";"WAHR";"https://www.ebay.de/str/kontinentalwaren";"WAHR";"Nach Vereinbarung.";"+493083218990";"https://www.kontinentalwaren.de";"";"";"";"";"";"";"";""
"1383";"476";"Brettspielgeschäft.Berlin";"Eberswalder Straße 27";"10437";"Anderes (bitte bei der nächsten Frage beschreiben)";"Spielwarengeschäft, Brett und Gesellschaftsspiele";"FALSCH";"";"WAHR";"";"+493054714570";"https://brettspielgeschaeft.berlin";"info@brettspielgeschaeft.de";"11:00-19:00";"11:00-19:00";"11:00-19:00";"11:00-19:00";"11:00-19:00";"11:00-19:00";""
"360";"121";"Restaurant Schust";"Eberswalder Straße 34";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Erzgebirgische Küche";"WAHR";"Liefergebiete: 10437, 10435, 10439, 13355, 10119, 10405, 10115. Weitere Informationen auf unserer Facebook und Instagram Seite";"WAHR";"Einfach anrufen und abholen. Gerne auch mit eigenen Tupperboxen von zu Hause.";"+493041714053";"https://www.facebook.com/pg/schust.berlin/posts/?ref=page_internal";"schust-berlin@gmx.de";"12:00-21:00";"12:00-21:00";"12:00-21:00";"12:00-21:00";"12:00-21:00";"12:00-21:00";"12:00-21:00"
"1392";"479";"Puzzlegeschäft.Berlin";"Pappelallee 33";"10437";"Anderes (bitte bei der nächsten Frage beschreiben)";"Puzzlegeschäft";"FALSCH";"";"WAHR";"";"+493044716011";"https://shop.brettspielgeschaeft.berlin/";"info@puzzlegeschaeft.de";"11:00-17:00";"11:00-17:00";"11:00-17:00";"11:00-17:00";"11:00-17:00";"11:00-17:00";""
"1908";"652";"Delidía";"Kopenhagenerstraße 15";"10437";"Anderes (bitte bei der nächsten Frage beschreiben)";"Hier findest du ausgewählte Bioprodukte direkt von kleinen Produzenten in Vorratsgrößen. Wir machen Qualität der Spitzenklasse für den normalen Geldbeutel erschwinglich. Mit unseren Kampagne zur Erntezeit vermeiden wir hohe Kosten und geben diese an dich weiter.";"WAHR";"Nur Versand, keine Abholung.";"FALSCH";"";"";"https://www.delidia.de";"hallo@delidia.de";"";"";"";"";"";"";""
"630";"214";"La Buvette Weinbar";"Gleimstraße 41";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Klassische Französische Bistrot-Küche";"FALSCH";"";"WAHR";"Bestellungen gern jederzeit telefonisch. 03088062870.";"+493088062870";"https://labuvette.berlin";"info@labuvette.berlin";"";"12:00-14:00 & 17:00-20:00";"12:00-14:00 & 17:00-20:00";"12:00-14:00 & 17:00-20:00";"12:00-14:00 & 17:00-20:00";"12:00-14:00 & 17:00-20:00";""
"2973";"1014";"Der Fischladen";"Schönhauser Allee 128";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Unser breites Angebot reicht vom Frischfisch, Räucherfisch, hausgemachte Salate oder Fischbrötchen für Zwischendurch zu Fisch-Speisen und Steaks oder einer Platte frischer Austern auf Eis";"WAHR";"Lieferungen nur über Lieferando.de";"WAHR";"Bestellungen zum Abholen müssen uns spätestens bis 18:00 Uhr am vorherigen Tag erreichen.";"+493040005612";"https://www.derfischladen.com";"info@markthalleberlin.com";"10:00-21:00";"10:00-21:00";"10:00-21:00";"10:00-21:00";"10:00-21:00";"10:00-21:00";"10:00-21:00"
"417";"140";"Chay Long";"Raumerstraße 17";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Vegane asiatische Tapas";"WAHR";"kontaktlose Lieferungen im Umkreis von 7km";"WAHR";"von 16-21 Uhr";"+4915259555666";"http://www.chay-long.com/?lang=en";"kontakt@chay-long.com";"15:00-21:00";"15:00-21:00";"15:00-21:00";"15:00-21:00";"15:00-21:00";"15:00-21:00";"15:00-21:00"
"3492";"1191";"Restaurant Thüringer Stuben";"Stargarder Straße 28";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"hausgemacht deutsche regionale Küche, Spargelgerichte";"FALSCH";"";"WAHR";"anrufen, abholen, genießen";"+49304463339";"https://www.thueringer-stuben.de";"info@thueringer-stuben.de";"17:00-21:00";"17:00-21:00";"17:00-21:00";"17:00-21:00";"17:00-21:00";"17:00-21:00";"12:00-20:00"
"1212";"418";"SPRO Scones Bakery & Coffee";"Schönhauser Allee 50a";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Scones, clotted cream, kuchen, coffee";"FALSCH";"";"WAHR";"";"+4917672445140";"https://www.spro-coffee.com";"";"10:00-17:00";"";"";"10:00-17:00";"10:00-17:00";"10:00-17:00";"10:00-17:00"
"2499";"853";"Modern Graphics Prenzlauer Berg";"Kastanienallee 79";"10437";"Buchhandlung";"Comics, Kinderbücher, Graphic Novel,Manga";"WAHR";"Innenstadtbezirke";"WAHR";"";"+493027493630";"https://www.modern-graphics.de";"kastanie@modern-graphics.de";"11:00-18:30";"11:00-18:30";"11:00-18:30";"11:00-18:30";"11:00-18:30";"11:00-18:30";""
"2253";"769";"sexymama mode für schwangere";"Lychenerstrasse. 52";"10437";"Anderes (bitte bei der nächsten Frage beschreiben)";"Umstandsmode, Schwangerschaftsmode, Stillmode";"WAHR";"Lieferung nach Absprache";"WAHR";"persönliche Terminvereinbarung";"+491791073567";"https://www.sexy-mama.de";"info@sexy-mama.de";"";"";"";"";"";"";""
"720";"246";"Orlando Berlin";"Rhinower Straße 10";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Sizilianische Feinkostbistro";"WAHR";"Takaway- Do. bis So. - 12Uhr bis 20Uhr zum Orlando. Lieferservice via Lieferando";"WAHR";"Arancine (vegan, veg. Fleisch), Anelletti al forno (pasta), Caponata, Sizilianischen Käse und Salami, Sizilianische Rote un Weiß Wein, Prosecco!";"+4917660503712";"https://www.orlandoberlin.com";"happy@orlandoberlin.com";"";"12:00-20:00";"";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00"
"1488";"511";"DIE PIZZAHÜTTE";"KOPENHAGENER STRAßE 17";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Hier wird mit viel Liebe und nach traditionell italienischen Rezepten gebacken. Unser Chefpizzabäcker Matteo Bonacito und sein Team haben ihr Handwerk in Italien gelernt und zaubern für jeden Geschmack die passende Pizza.";"WAHR";"UNSERE LIEFERSORTIMENT FINDEN SIE UNTER https://www.kohlenquelle-berlin.de/";"WAHR";"ALLE UNSERE PIZZEN TÄGLICH FRISCH AB 15 UHR";"+493055577584";"";"PIZZAHUETTE@GMAIL.COM";"15:00-21:00";"15:00-21:00";"15:00-21:00";"15:00-21:00";"15:00-21:00";"15:00-21:00";"15:00-21:00"
"3546";"1210";"DER SACHE WEGEN";"Lychener Straße 47";"10437";"Anderes (bitte bei der nächsten Frage beschreiben)";"Unverpackt Laden, plastikfrei einkaufen, Bioladen";"WAHR";"deutschlandweiter Versand";"WAHR";"Unser Ladengeschäft ist MO-FR 11 - 19 Uhr und SA 10 - 19 Uhr geöffnet.";"+493085626102";"https://einkaufen.der-sache-wegen.de/";"hallo@der-sache-wegen.de";"11:00-19:00";"11:00-19:00";"11:00-19:00";"11:00-19:00";"11:00-19:00";"10:00-19:00";""
"225";"75";"Trattoria Zoe";"Senefelderstraße 10";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"knusprige Pizza, frische Pasta, knackige Salate, frischer Fisch und regionales Fleisch";"WAHR";"Liefergebiet 10437 Berlin und Helmholtzkiez und Umgebung";"WAHR";"Alle Speisen und Getränke bieten wir auch zum Abholen an";"+493065838130";"https://www.zoeberlin.de";"trattoria.zoe@gmail.com";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-21:00";"12:00-21:00";"12:00-21:00";"12:00-21:00"
"3555";"1213";"3YS Vision GmbH";"Lychenerstraße 18";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Japanische Küche";"WAHR";"Fleisch und Marinade";"WAHR";"- Bestellung 24 Stunden im Voraus.  Abholung nach Absprache Lieferung im 4km Radius ab 100€  nach Absprache.  Kurzfristiger Bestellung/Abholung/Lieferung nach Absprache möglich.";"+493055242448";"http://www.ushido-bbq.com";"booking@ushido-bbq.com";"";"";"";"";"";"";""
"2280";"778";"Bierlinie Shop";"Schliemannstraße 2";"10437";"Getränkemarkt";"Riesen Auswahl an internationalen Bieren aus aller Welt und lokalem Bier aus Berlin mit mehr als 500 Herstellern aus Deutschland, Belgien und weiteren Ländern mit excellenten Bieren zu jedem Essen sowie alkoholfreie Getränke + Bestellung + Lieferung";"WAHR";"Liefergebiet Berlin: Prenzenlauer Berg, Mitte, Wedding, Friedichshain, Kreuzberg, Neukölln - innhalb des S-Bahn-Rings Liefertermine: Di + Do von 14-19:00 Uhr";"WAHR";"Telefonische Vorbestellungen unter: 030-44318220 oder unter laden@bierlinie.de bitte zwei Stunden vor Abholung nach Verfügbarkeit der Waren direkt im Laden abholen bei Schliemannstrasse 2 10437 Berlin";"+493044318220";"https://www.bierlinie-shop.de/bierlinie/unternehmen/unser-ladengeschaeft";"laden@bierlinie.de";"13:00-19:00";"13:00-19:00";"13:00-19:00";"13:00-19:00";"13:00-19:00";"11:00-19:00";""
"2295";"783";"Möbel-Eck-Lenz";"Stargarder Straße 32";"10437";"Möbel";"Tische,Stühle,Kommoden,Schränke,Liegen,Betten und Kleinmöbel";"WAHR";"Lieferung im Berlin und Umland";"WAHR";"Bestellungen per Telefon oder Email oder persönlicher Beratung können dann abgeholt werden.können";"+4917643838783";"https://www.moebel-eck-lenz.de";"moebel-eck-lenz@arcor.de";"";"";"";"";"";"";""
"3576";"1220";"Goldhahn und Sampson";"Dunckerstraße 9";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Lebensmittel, Weine, Kochbücher und Kochkurse";"WAHR";"Wir liefern ab 45 Euro Bestellwert noch am gleichen Tag frei Haus. Aktuell beliefern wir Prenzlauer Berg, Friedrichshain, Mitte, Kreuzberg, Tiergarten, Schöneberg, Wilmersdorf und Charlottenburg. Details unter www.goldhahnundsampson.de/lieferservice";"WAHR";"Unsere Geschäfte in Charlottenburg und Prenzlauer Berg sind weiterhin geöffnet.";"+4915158128837";"https://www.goldhahnundsampson.de";"hallo@goldhahnundsampson.de";"08:00-20:00";"08:00-20:00";"08:00-20:00";"08:00-20:00";"08:00-20:00";"09:00-20:00";""
"2811";"959";"FLOW FOOTBIKE";"Senefelderstraße 33";"10437";"Sportwaren (inkl. Fahrradgeschäfte)";"Tretroller für Erwachsene => Eine andere Art der Bewegung / eine andere Art der Fortbewegung";"WAHR";"";"FALSCH";"";"+4917622033367";"https://flow-footbike.de";"kontakt@flow-footbike.de";"";"";"";"";"";"";""
"3069";"1048";"Trattoria Felice";"Lychener Straße 41";"10437";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Pizza Pasta italienische Speisen und Getränke";"WAHR";"Wir liefern 1km Umkreis von unserem Standort, sollte es 100 Meter mehr sein auch kein Ding;)";"WAHR";"Alle aktuellen Speisen und Getränke der Speisekarte online sowie die Waren des täglichen bedarfs in unserem italienischem Feinkostspäti";"+493040041927";"https://trattoria-felice.de";"info@trattoria-felice.de";"17:00-21:00";"17:00-21:00";"17:00-21:00";"17:00-21:00";"12:00-22:00";"12:00-22:00";"12:00-22:00"
"2859";"976";"KOMPONENTIX";"Kanzowstraße 15";"10439";"Sportwaren (inkl. Fahrradgeschäfte)";"Wir fertigen Laufräder für höchste Anforderungen und jeden Fahrradtyp.";"WAHR";"Lieferungen weltweit";"WAHR";"Di+Mi 10-15 Uhr / Do 9-19:30 Uhr";"+493039889955";"https://www.komponentix.de/";"mail@komponentix.de";"";"10:00-15:00";"10:00-15:00";"09:00-19:30";"";"";""
"3372";"1151";"Giomecca Pastry";"Erich Weinert Straße 3";"10439";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Italienisches Gebäck zum Mitnehmen und Ausliefern";"WAHR";"";"WAHR";"Bestellungen zum Abholen müssen uns spätestens bis 15:00 Uhr am vorherigen Tag erreichen";"+491721676822";"http://giomeccapastry.com/";"giomecca.pastry@gmail.com";"14:00-18:00";"10:30-18:00";"10:30-18:00";"10:30-18:00";"10:30-18:00";"10:30-18:00";"12:00-17:00"
"561";"188";"Seth & Fathe Indische & Pakistanische Spezialitäten";"Malmöer Straße 13";"10439";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Indische & Pakistanische Küche";"FALSCH";"";"WAHR";"Telefonisch besten und ca. 30 Minuten später abholen.";"+493044793040";"https://www.lieferando.de/seth-fathe-indisches-pakistanisches-restaurant";"";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00";"12:00-20:00"
"2220";"758";"TABAKFREUND";"Schönhauser Allee 101";"10439";"Anderes (bitte bei der nächsten Frage beschreiben)";"Whisky, Rum, Gin und andere Spirituosen";"WAHR";"";"WAHR";"";"+493041722612";"https://www.tabakfreund.de";"info@tabakfeund.de";"07:00-19:00";"07:00-19:00";"07:00-19:00";"07:00-19:00";"07:00-19:00";"07:00-19:00";""
"1014";"351";"RepMac UG";"Schönhauser Allee 108";"10439";"Anderes (bitte bei der nächsten Frage beschreiben)";"Reparatur von MacBooks und IMacs";"WAHR";"Ganz Berling Abholung +Lieferung für 50€";"WAHR";"Verkauf von gebrauchten MacBooks und neuem Zubehör";"+493041509390";"https://www.repmac.de/";"info@repmac.de";"10:00-19:00";"10:00-19:00";"10:00-19:00";"10:00-19:00";"10:00-19:00";"11:00-15:00";""
"2076";"709";"George R Bar";"Wilhelmshavener Straße 57";"10551";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Klassische Cocktails";"WAHR";"Lieferung in die Berliner Innenstadt, Details auf der Webseite.";"WAHR";"Bestellungen zum Abholen müssen uns spätestens bis 13:00 Uhr an unseren Liedertafel (Dienstag und Freitag)  erreichen.";"+493052666933";"https://shop.george-r.de";"bar@george-r.de";"";"";"";"";"";"";""
"1824";"624";"Burger Turm";"Turmstrasse, 49";"10551";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Burger Shop";"WAHR";"Unsere aktuellen Liefergebiete werden auf unsere Webseite veröffentlicht";"WAHR";"leer";"+493049956625";"https://burgerturm.com";"info@burgerturm.com";"16:00-21:30";"12:00-21:30";"12:00-21:30";"12:00-21:30";"12:00-21:30";"12:00-21:30";"14:00-21:30"
"2598";"886";"Global-Reparaturservice";"Stromstraße 31";"10551";"Anderes (bitte bei der nächsten Frage beschreiben)";"Reparatur von Haushalts- und Gastronomiegeräten aller Art";"WAHR";"Wir bieten unseren Service in Berlin und Umland an.";"WAHR";"Waschmaschinen, Geschirrspüler, Trockner und vieles mehr";"+493039887340";"https://waschmaschine-reparatur-berlin.com/";"info@global-reparaturservice.de";"08:00-18:00";"08:00-18:00";"08:00-18:00";"08:00-18:00";"08:00-18:00";"08:00-16:00";""
"3117";"1064";"Nord West Oase";"Wiclef Straße 17";"10551";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Deutsche Küche";"FALSCH";"";"WAHR";"Bestellen und in 20 min abholen.";"+49303963971";"";"";"12:00-18:00";"12:00-18:00";"12:00-18:00";"12:00-18:00";"12:00-18:00";"12:00-18:00";"12:00-18:00"
"3126";"1067";"Zunftwirtschaft";"Arminiusstraße 2-4";"10551";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Das Restaurant Zunftwirtschaft im südlichen Kopfbau der Arminiusmarkthalle ist ein Ort für nachhaltigen Genuss und frische Zubereitung von saisonalen Speisen. Gute Weine, hausgebrautes Bier und Regionalität - dafür stehen wir. Aktuell gibt es frische Berliner Küche zum Mitnehmen.";"FALSCH";"";"WAHR";"Alle Speisen werden frisch zubereitet. Sie können mit kurzer Wartezeit spontan am Restaurant abgeholt werden. Gern können Sie telefonisch bestellen: 0170-5810100, Öffnungszeiten/Küchenzeiten: tägl. 11.00-19.00 Uhr";"+491705810100";"https://www.zunftwirtschaft.info";"info@zunft-wirtschaft.de";"11:00-19:00";"11:00-19:00";"11:00-19:00";"11:00-19:00";"11:00-19:00";"11:00-19:00";"11:00-19:00"
"1497";"514";"Apollo Apotheke";"Turmstraße 46";"10551";"Gesundheit";"Arzneimittel, Hilfsmittel, Nahrungsergänzung,";"WAHR";"Berlin Tiergarten, Siemensstadt, Charlottenburg";"WAHR";"Arzneimittel, Desinfektion, Mundschutz";"+493039731903";"https://www.apolloapo.de";"service@apolloapo.de";"09:00-19:00";"09:00-19:00";"09:00-19:00";"09:00-19:00";"09:00-19:00";"09:00-14:00";""
"2352";"803";"Spielwaren Heinsohn";"Beusselstraße 47";"10553";"Anderes (bitte bei der nächsten Frage beschreiben)";"Sammlerspielzeug traditioneller Hersteller wie Steiff, Wiking, Märklin, Schuco, Käthe Kruse, Herpa";"WAHR";"Versand mit DHL oder Hermes oder Privatzustellung auf Anfrage";"FALSCH";"";"+49303914120";"https://www.heinsohn-spielwaren.de";"heinsohn-spielwaren@arcor.de";"";"";"";"";"";"";""
"831";"285";"agni";"Kaiserin-Augusta-Allee 1";"10553";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Authentisch Indische Küche";"FALSCH";"";"WAHR";"";"+4917649220550";"https://www.restaurant-agni.de/";"info@restaurant-agni.de";"11:00-15:00 & 18:00-22:00";"11:00-15:00 & 18:00-22:00";"11:00-15:00 & 18:00-22:00";"11:00-15:00 & 18:00-22:00";"11:00-15:00 & 18:00-22:00";"18:00-22:00";""
"69";"23";"Havel Menü";"Neues Ufer 13";"10553";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Deutsche Küche";"WAHR";"Wir beliefern Notkitas und Seniorenheime";"FALSCH";"";"+493036759248";"https://www.havel-menue.de";"info@havel-menue.de";"";"07:00-14:00";"07:00-14:00";"07:00-14:00";"07:00-14:00";"";""
"2151";"735";"Alida Food GmbH";"Beussel Straße 44 n-q";"10553";"Anderes (bitte bei der nächsten Frage beschreiben)";"Großhandel für Lebensmittel";"WAHR";"Obst und Gemüse. Getreide und Getreideprodukte. Milch und Milchprodukte. Fleich, Fisch, Eier und deren Produkte. Fette und Öle. Gastronomie Bedarf";"FALSCH";"";"+493058848355";"https://www.alidafood.de";"info@alidafood.de";"05:00-14:00";"05:00-14:00";"05:00-14:00";"05:00-14:00";"05:00-14:00";"05:00-14:00";""
"1743";"597";"Dilay Lebensmittel Vertriebs GmbH";"Beusselstraße 44N-Q";"10553";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Vertrieb und Lieferung von Lebensmitteln aller Art aus aller Welt.";"WAHR";"Lieferung in Berlin ab einer Bestellmenge von 50€";"FALSCH";"";"+4915759511188";"https://www.dilayberlin.de";"info@dilayberlin.de";"10:00-14:00";"10:00-14:00";"10:00-14:00";"10:00-14:00";"10:00-14:00";"10:00-14:00";""
